id,structure,informativity,on-topic,correctness,category
1,4,3,3,4,closed_qa
2,4,4,4,4,closed_qa
6,0,4,4,0,brainstorming
9,4,3,4,0,brainstorming
10,0,3,4,4,summarization
16,4,4,4,4,closed_qa
20,0,4,4,4,summarization
21,0,3,4,4,summarization
23,4,4,4,4,closed_qa
24,0,4,4,4,summarization
25,0,4,4,4,summarization
29,0,3,4,0,brainstorming
31,4,4,4,4,brainstorming
35,4,4,4,4,summarization
37,4,4,4,4,closed_qa
41,0,4,4,4,brainstorming
43,0,4,4,4,closed_qa
44,4,4,4,4,brainstorming
45,0,4,4,4,closed_qa
48,4,4,4,4,closed_qa
50,3,3,4,4,summarization
62,0,4,4,4,closed_qa
64,4,3,4,0,summarization
66,0,4,4,4,closed_qa
72,4,2,4,4,brainstorming
74,0,3,3,3,brainstorming
79,0,1,1,1,closed_qa
82,0,4,4,4,summarization
83,0,4,4,4,brainstorming
91,4,3,3,4,summarization
93,1,4,4,0,brainstorming
98,0,3,4,4,closed_qa
102,4,3,4,0,brainstorming
109,0,3,4,4,summarization
111,4,4,4,4,brainstorming
112,0,4,4,2,summarization
118,0,4,4,4,closed_qa
122,4,4,4,0,brainstorming
123,0,4,4,4,closed_qa
127,0,3,4,4,summarization
131,0,4,4,4,summarization
132,0,3,4,4,summarization
139,0,3,4,3,summarization
144,0,4,4,4,summarization
145,4,4,3,0,brainstorming
146,0,4,4,4,closed_qa
147,4,4,4,4,summarization
163,4,2,4,0,summarization
168,0,4,4,4,summarization
170,0,3,3,3,summarization
171,0,2,4,2,summarization
177,1,4,4,0,brainstorming
183,0,4,4,4,closed_qa
185,3,4,4,4,summarization
188,4,3,4,0,summarization
192,0,4,4,4,summarization
193,4,4,4,4,brainstorming
197,0,3,4,0,brainstorming
199,0,4,3,4,closed_qa
203,0,2,4,1,closed_qa
206,0,4,4,4,closed_qa
207,3,3,3,4,closed_qa
213,0,4,4,4,summarization
222,0,2,4,4,summarization
226,0,3,4,4,closed_qa
229,0,4,4,4,closed_qa
233,0,4,4,0,brainstorming
237,4,3,4,4,summarization
239,0,4,4,0,brainstorming
240,4,4,4,0,brainstorming
244,0,4,4,4,closed_qa
248,0,3,4,3,closed_qa
251,0,4,4,4,brainstorming
252,4,4,4,4,closed_qa
253,0,4,4,4,summarization
257,3,3,4,3,brainstorming
272,0,4,4,3,summarization
273,0,4,4,0,brainstorming
284,0,2,2,2,summarization
288,4,3,4,4,summarization
289,0,4,4,0,brainstorming
290,4,4,4,4,brainstorming
295,0,3,4,4,closed_qa
298,0,4,4,4,closed_qa
301,0,1,1,1,closed_qa
311,0,4,4,4,brainstorming
312,0,4,4,4,brainstorming
321,3,2,3,2,closed_qa
322,0,4,4,4,closed_qa
338,3,3,4,0,summarization
340,0,4,4,4,brainstorming
342,4,2,4,4,summarization
352,3,3,4,3,summarization
353,0,3,4,0,brainstorming
355,0,4,4,4,closed_qa
363,0,4,4,4,summarization
365,0,4,4,4,closed_qa
366,4,4,4,0,brainstorming
368,0,4,4,4,summarization
372,0,4,4,4,closed_qa
378,0,1,4,2,summarization
380,0,2,4,2,summarization
389,0,1,1,1,closed_qa
392,1,2,4,1,summarization
393,0,3,4,4,closed_qa
394,0,4,4,4,summarization
395,0,4,4,4,closed_qa
403,0,4,3,0,closed_qa
405,4,3,4,0,summarization
